Rank,Comrade,Rarest trait
00246,05266,Type - Ethernals
00259,04619,Cloths - Golden Hoodie
00736,01504,Head - Swimming Cap
00884,06724,Head - Maga Cap
01048,08894,Head - Weird Sexy Alien Lady
01307,04577,Head - Hind Hair
01511,06670,Head - Amanita Muscaria Shower Cap
01572,03878,Mouth - Sniffmaster 9000
02038,05182,Mouth - Beak of the Pruu Pruu People
02893,08906,Audio Indexer Derivations - Golden Alpha Receiver
02938,06262,Skin Stuff - Three Day Stubble with Tribal Tattoo
03525,01344,Eyes - Pit Vipers
03526,03804,Head - Amanita Muscaria Shower Cap
04719,01326,Skin Stuff - Adeptus Cuborum Block Tattoo
05044,02936,Mouth - Vape
05318,01642,Skin Stuff - Adeptus Cuborum Block Tattoo
06161,08546,Mouth - Sniffmaster 9000
07551,01922,Head - Ponytail Black
08289,08621,Head - Champ
08714,05138,Head - Bandana
09011,04880,Eyes - Quadrupel Block Vision
09250,00827,Audio Indexer Derivations - Mecha Crew Coms
