Rank,Comrade,Rarest trait
00064,07540,Mouth - Vomit Tier 3 CALL THE UNICORNS!!!
00168,08973,Relics - Holy Forking Staff
00341,01660,Head - Geylo
00514,02047,Head - Super Sick Cap
00669,09265,Mouth - Beak of the Pruu Pruu People
00774,07231,Cloths - Golden Hoodie
00996,01167,Head - Horns of the Peeperz People
01370,08528,Head - Logic Tree
01581,06282,Eyes - SkullX Raiders Visoor
01586,05004,Head - Tippy Toppy Top Hat
02462,06709,Head - Saudi People
02609,08511,Mouth - Gigantism
02721,04835,Head - Logic Tree
02854,03316,Head - Slick
02944,06394,Head - Sinful Halo
03003,05113,Eyes - Alien Eyes
03462,09249,Head - Amanita Muscaria Shower Cap
03569,08034,Type - Black and White Zombie
03704,03230,Head - Tippy Toppy Top Hat
03807,01396,Mouth - Beak of the Pruu Pruu People
03936,01462,Eyes - Alien Eyes
04008,00056,Head - Hind Hair
04250,08648,Head - Saudi People
04397,09242,Background - Macs Noise
04622,06584,Head - Ponytail Black
04682,00716,Head - Fancy Hair black
04799,03377,Head - Toxic Techno Granny
04877,04055,Head - Straight af
04895,03853,Head - Pigtails brown
05001,04384,Head - Wild Purple Hair
05077,01524,Head - Mecha Crew Call Data Transceiver
05407,09026,Accessories - with a Ledger
05685,05607,Head - Stuntman Helmet (PUNKAYC)-
05723,01854,Cloths - Gold Chain
06034,00979,Head - Toxic Techno Granny
06183,04867,Head - Kinights Helmet
06550,03932,Mouth - Beard of the Gods
06787,00542,Eyes - Auto GMer
06997,05657,Head - Ponytail Black
07020,09726,Mouth - Block Speak
07298,03560,Head - Ice Princess
07372,06261,Head - Blockchain Maintanance Helmet
07432,08810,Head - Hash Mesh
07439,00955,Mouth - Vape
07458,01239,Head - Swimming Cap
07891,00939,Head - Knitted Cap
08143,02454,Eyes - Cyclops
08326,03470,Eyes - Block Vision
08506,02538,Eyes - Auto GMer
08713,01611,Head - Ponytail Pink
08784,04703,Audio Indexer Derivations - You Should See His..
09000,04187,Mouth - Pork People Snout
09192,04122,Head - Pure Elegance
09292,08311,Mouth - The Freddy
09318,04477,Mouth - Pepe People Mouth
09426,03684,Mouth - Ripping a Dart
09820,07343,Eyes - MEV Bot Protector Orange
