Rank,Comrade,Rarest trait
00091,04850,Mouth - Vomit Tier 3 CALL THE UNICORNS!!!
00464,05019,Mouth - Beak of the Pruu Pruu People
00603,06534,Head - Imaginary Scriptoadz Companion
00731,08739,Cloths - Dexclesia High Priest Armor
01217,02121,Cloths - Wet Suit of the Grr People
01231,01499,Background - Super Rare Holographic Ittybits Background
01694,05897,Mouth - Ménage à neuf
02423,03460,Head - Maga Cap
02513,04527,Eyes - Block Vision (Drain Plains Pirates)
03015,02803,Type - Black and White Zombie
03022,06855,Head - Hash Mesh
03223,02817,Head - Logic Tree
03691,00717,Eyes - Purr People Eyes
03834,00791,Cloths - Wet Suit of the Grr People
04513,05748,Mouth - Chewy 7700 Industrial
04616,09400,Mouth - ULULULULULUL
04930,02162,Skin Stuff - Three Day Stubble with Tribal Tattoo
05927,00655,Mouth - Pork People Snout
06157,00679,Head - Hind Hair
06588,04391,Mouth - Vape
06773,03266,Accessories - with a Pile of Shitcoins
06854,01645,Head - Mohawk White
07196,09017,Head - Toxic Techno Granny
07213,06571,Mouth - Lovebound
07614,07559,Eyes - He was never the same again
07671,00186,Head - Pigtails Blonde
08174,06651,Head - Ponytail Blonde
08739,05896,Head - Ponytail Black
08804,03981,Mouth - Pork People Snout
09278,06818,Eyes - Brainiac
